# Program:featureCounts v2.0.0; Command:"featureCounts" "-a" "/binf-isilon/vintherlab/jvinther/scratch/data/sequences/RNAs_100.saf" "-o" "/binf-isilon/vintherlab/jvinther/scratch/featureCount_counts.txt" "-F" "SAF" "02.sam" "03.sam" "05.sam" "06.sam" "08.sam" "09.sam" "11.sam" "12.sam" "14.sam" "15.sam" 
Geneid	Chr	Start	End	Strand	Length	02.sam	03.sam	05.sam	06.sam	08.sam	09.sam	11.sam	12.sam	14.sam	15.sam
HCV_J6-JFH1-c2-plus	HCV_J6-JFH1-c2-plus	1	100	+	100	1270	180	3466	1089	3119	1294	2465	607	1790	403
HCV_J6-JFH1-c2-minus	HCV_J6-JFH1-c2-minus	1	100	+	100	256	26	583	141	518	134	366	101	330	81
Human_LSU_rRNA_M11167.1	Human_LSU_rRNA_M11167.1	1	100	+	100	1366492	863353	2286135	3685706	2139323	3681414	1957960	2926953	1390799	1657489
Human_SSU_rRNA_K03432	Human_SSU_rRNA_K03432	1	100	+	100	360504	198790	700460	1041831	418109	1211301	447900	590895	336512	296118
Human_5S_rRNA_E00204	Human_5S_rRNA_E00204	1	100	+	100	13305	4561	27372	28357	14117	25467	18978	26706	11820	11992
Human_mt_LSU_ENSG00000210082	Human_mt_LSU_ENSG00000210082	1	100	+	100	2643103	1339899	3421884	4504934	2722546	5222480	1824381	3217604	1870822	1949231
Human_mt_SSU_ENSG00000211459	Human_mt_SSU_ENSG00000211459	1	100	+	100	1308785	645442	1869401	2657792	1381948	2991901	1213362	1726768	1065417	970594
BCYRN1	BCYRN1	1	100	+	100	39	22	41	65	44	51	26	34	28	30
RN7SK	RN7SK	1	100	+	100	1845	1153	4959	6147	2264	4284	1862	2546	2967	2974
RNU105B	RNU105B	1	100	+	100	0	0	0	0	0	1	0	0	1	0
RNU105C	RNU105C	1	100	+	100	0	0	0	0	0	0	0	0	0	0
RNU11	RNU11	1	100	+	100	316	160	564	471	431	662	459	514	276	301
RNU1-1	RNU1-1	1	100	+	100	449	168	581	643	377	572	289	399	281	255
RNU12	RNU12	1	100	+	100	4	0	5	0	1	1	2	1	0	0
RNU2-1	RNU2-1	1	100	+	100	159	50	237	277	104	199	116	160	93	93
RNU4-1	RNU4-1	1	100	+	100	56	15	80	88	60	44	53	66	50	37
RNU4ATAC	RNU4ATAC	1	100	+	100	4	6	21	23	16	22	20	26	9	19
RNU5A-1	RNU5A-1	1	100	+	100	71	61	178	237	82	111	93	106	61	111
RNU5B-1	RNU5B-1	1	100	+	100	44	34	171	148	92	109	41	70	57	85
RNU5D-1	RNU5D-1	1	100	+	100	4	4	20	13	2	6	10	7	4	9
RNU5E-1	RNU5E-1	1	100	+	100	121	113	425	496	252	347	391	432	226	193
RNU5F-1	RNU5F-1	1	100	+	100	0	0	1	0	3	2	0	0	0	1
RNU6-1	RNU6-1	1	100	+	100	69	29	149	175	89	114	123	140	67	60
